month,bidding_no,vehicle_class,premium
2018-05,2,CLSL:2002,11
2018-12,2,CLSL:1001,42
2018-12,2,CLSL:1002,13
2018-12,2,CLSL:2001,33
2018-12,2,CLSL:2002,5
2019-05,2,CLSL:1001,19
2019-05,2,CLSL:1002,32
2019-05,2,CLSL:2001,12
2019-05,2,CLSL:2002,32
2019-12,2,CLSL:1001,42
2019-12,2,CLSL:1002,11
2019-12,2,CLSL:2001,21
2019-12,2,CLSL:2002,13
2020-05,2,CLSL:1001,17
2020-05,2,CLSL:1002,30
2020-05,2,CLSL:2001,11
2020-05,2,CLSL:2002,18
2020-12,2,CLSL:1001,27
2020-12,2,CLSL:1002,4
2020-12,2,CLSL:2001,25
2020-12,2,CLSL:2002,8
2021-05,2,CLSL:1001,25
2021-05,2,CLSL:1002,13
2021-05,2,CLSL:2001,7
2021-05,2,CLSL:2002,24
2021-12,2,CLSL:1001,22
2021-12,2,CLSL:1002,14
2021-12,2,CLSL:2001,19
2021-12,2,CLSL:2002,5
