Term	RawFrequency	RelativeFrequency
μέντοι	70	5.59E-04
σφεῖς	69	5.51E-04
πεζός	69	5.51E-04
δέχομαι	69	5.51E-04
βούλομαι	69	5.51E-04
ἄγω	69	5.51E-04
φύσις	68	5.43E-04
φόνος	68	5.43E-04
τύχη	68	5.43E-04
πολιορκία	68	5.43E-04
παρέχω	67	5.35E-04
κτείνω	67	5.35E-04
δυνατός	67	5.35E-04
ἄνθρωπος	67	5.35E-04
ταχέως	66	5.27E-04
συμβαίνω	66	5.27E-04
ἀντίγονος	66	5.27E-04
ὑπολαμβάνω	65	5.19E-04
κώμη	65	5.19E-04
δέομαι	65	5.19E-04
χῶμα	64	5.11E-04
στάδιον	64	5.11E-04
ἵνα	64	5.11E-04
ἀναχωρέω	64	5.11E-04
καθά	63	5.03E-04
ἔξωθεν	63	5.03E-04
ἔνδον	63	5.03E-04
νεκρός	62	4.95E-04
μέγεθος	62	4.95E-04
κἀν	62	4.95E-04
ἔρχομαι	62	4.95E-04
τέλος	61	4.87E-04
πλέως	61	4.87E-04
διαφεύγω	61	4.87E-04
γιγνώσκω	61	4.87E-04
ἀπόλλυμι	61	4.87E-04
νύξ	60	4.79E-04
θνήσκω	60	4.79E-04
ἀποδείκνυμι	60	4.79E-04
οἴομαι	59	4.71E-04
βέλος	59	4.71E-04
χωρέω	58	4.63E-04
χρόνος	58	4.63E-04
πῆχυς	58	4.63E-04
παρέρχομαι	58	4.63E-04
μήτηρ	58	4.63E-04
χαλεπός	57	4.55E-04
φανερός	57	4.55E-04
κίνδυνος	57	4.55E-04
καιρός	57	4.55E-04
ἐχθρός	57	4.55E-04
βασιλικός	57	4.55E-04
ἀνάγκη	57	4.55E-04
οἰκία	56	4.47E-04
γῆ	56	4.47E-04
ἅγιος	56	4.47E-04
σώζω	55	4.39E-04
πίπτω	55	4.39E-04
πάλαι	55	4.39E-04
οἶκος	55	4.39E-04
ἐφίστημι	55	4.39E-04
πατρίς	54	4.31E-04
ὀργή	54	4.31E-04
ἡγεμονία	54	4.31E-04
ἥκω	54	4.31E-04
γένος	54	4.31E-04
τέκνον	53	4.23E-04
πειράω	53	4.23E-04
παραδίδωμι	53	4.23E-04
ὄρος	53	4.23E-04
ἐθέλω	53	4.23E-04
αὖθις	53	4.23E-04
ἀντίοχος	53	4.23E-04
τόλμα	52	4.15E-04
στρατόπεδον	52	4.15E-04
παρακαλέω	52	4.15E-04
ἰσχύς	52	4.15E-04
ἁρπάζω	52	4.15E-04
ἀρχιερεύς	52	4.15E-04
ἀίω	52	4.15E-04
φυλάσσω	51	4.07E-04
φυγή	51	4.07E-04
ὕψος	51	4.07E-04
τολμάω	51	4.07E-04
πίστις	51	4.07E-04
ὅπως	51	4.07E-04
λιμός	51	4.07E-04
ἐπιχώριος	51	4.07E-04
βιάζω	51	4.07E-04
αἰτία	51	4.07E-04
ἁρπαγή	51	4.07E-04
ἀγαθός	51	4.07E-04
πράσσω	50	3.99E-04
κατέχω	50	3.99E-04
καλός	50	3.99E-04
φάραγξ	49	3.91E-04
ἐπιτήδειος	49	3.91E-04
δίκαιος	49	3.91E-04
ξίφος	48	3.83E-04
ἱκετεύω	48	3.83E-04
ἑκάτερος	48	3.83E-04
δεύτερος	48	3.83E-04
ἀδελφή	48	3.83E-04
τρεῖς	47	3.75E-04
κωλύω	47	3.75E-04
φρουρά	46	3.67E-04
στοά	46	3.67E-04
ποτέ	46	3.67E-04
παροξύνω	46	3.67E-04
πάτριος	46	3.67E-04
μάχομαι	46	3.67E-04
κομίζω	46	3.67E-04
αἴτιος	46	3.67E-04
ἄνω	46	3.67E-04
χωρίον	45	3.59E-04
τύραννος	45	3.59E-04
συνάγω	45	3.59E-04
ῥᾴδιος	45	3.59E-04
ὁπλίτης	45	3.59E-04
λίθος	45	3.59E-04
καίτοι	45	3.59E-04
ἔθος	45	3.59E-04
ἄπειρος	45	3.59E-04
τέσσαρες	44	3.51E-04
συλλαμβάνω	44	3.51E-04
προσπίτνω	44	3.51E-04
πρόσειμι	44	3.51E-04
ὄνομα	44	3.51E-04
κατασκευάζω	44	3.51E-04
θαρσέω	44	3.51E-04
ζηλωτής	44	3.51E-04
εἴκοσι	44	3.51E-04
ἐλευθερία	44	3.51E-04
αἴγυπτος	44	3.51E-04
ἀφίστημι	44	3.51E-04
ἀντέχω	44	3.51E-04
ἀθρόος	44	3.51E-04
χρή	43	3.43E-04
φονεύω	43	3.43E-04
ὑπομένω	43	3.43E-04
τηλικοῦτος	43	3.43E-04
τάχος	43	3.43E-04
σφέτερος	43	3.43E-04
πιστεύω	43	3.43E-04
μῖσος	43	3.43E-04
ἐλπίζω	43	3.43E-04
ἔργω	43	3.43E-04
ἀναλαμβάνω	43	3.43E-04
ὥρα	42	3.35E-04
τιμή	42	3.35E-04
σύμμαχος	42	3.35E-04
περίειμι	42	3.35E-04
πέντε	42	3.35E-04
οἶδα	42	3.35E-04
καρτερός	42	3.35E-04
ἐπιβουλή	42	3.35E-04
ἀνά	42	3.35E-04
τρόπος	41	3.27E-04
τάλαντον	41	3.27E-04
πλησίος	41	3.27E-04
μικρός	41	3.27E-04
εὔνοια	41	3.27E-04
εἰρήνη	41	3.27E-04
ἑτοῖμος	41	3.27E-04
ἐμός	41	3.27E-04
δράω	41	3.27E-04
δίχα	41	3.27E-04
ἀξιόω	41	3.27E-04
ὑποστρέφω	40	3.19E-04
τρίτος	40	3.19E-04
τειχίζω	40	3.19E-04
πολλάκις	40	3.19E-04
παρασκευάζω	40	3.19E-04
λαός	40	3.19E-04
λαμπρός	40	3.19E-04
εἶδον	40	3.19E-04
ἕως	40	3.19E-04
ἐπιστρέφω	40	3.19E-04
ἐμπίτνω	40	3.19E-04
βία	40	3.19E-04
περιέχω	39	3.11E-04
οἷος	39	3.11E-04
ἵστημι	39	3.11E-04
θυμός	39	3.11E-04
θυγάτηρ	39	3.11E-04
ἐπιτρέπω	39	3.11E-04
διαρπάζω	39	3.11E-04
ἀσφάλεια	39	3.11E-04
ἀρετή	39	3.11E-04
ἀλλόφυλος	39	3.11E-04
φύλαξ	38	3.03E-04
τελευταῖος	38	3.03E-04
σαλώμη	38	3.03E-04
θεῖος	38	3.03E-04
ἑορτή	38	3.03E-04
ἑκατόν	38	3.03E-04
ἔπειμι	38	3.03E-04
δισχίλιοι	38	3.03E-04
βουλεύω	38	3.03E-04
ἀποσφάζω	38	3.03E-04
ἀκούω	38	3.03E-04
χράω	37	2.96E-04
ὕδωρ	37	2.96E-04
τυγχάνω	37	2.96E-04
προσάγω	37	2.96E-04
παρίστημι	37	2.96E-04
ὄργανον	37	2.96E-04
νικάω	37	2.96E-04
νέος	37	2.96E-04
μόλις	37	2.96E-04
μῆκος	37	2.96E-04
κολάζω	37	2.96E-04
ἠρεμέω	37	2.96E-04
ἐπείγω	37	2.96E-04
ἐμπίμπρημι	37	2.96E-04
φυλακή	36	2.88E-04
πομπήιος	36	2.88E-04
νομίζω	36	2.88E-04
διάφορος	36	2.88E-04
γενεά	36	2.88E-04
ἀπόστασις	36	2.88E-04
ὠμότης	35	2.80E-04
χίλιοι	35	2.80E-04
φρονέω	35	2.80E-04
φόβος	35	2.80E-04
τάχα	35	2.80E-04
προστάσσω	35	2.80E-04
προπέμπω	35	2.80E-04
πονηρός	35	2.80E-04
περίβολος	35	2.80E-04
παραλαμβάνω	35	2.80E-04
ὁμόφυλος	35	2.80E-04
ὁδός	35	2.80E-04
ὅτε	35	2.80E-04
ὄψις	35	2.80E-04
μοῖρα	35	2.80E-04
λίμνη	35	2.80E-04
καταφεύγω	35	2.80E-04
δίκη	35	2.80E-04
βέβαιος	35	2.80E-04
ἀμφότερος	35	2.80E-04
φρόνημα	34	2.72E-04
ὕλη	34	2.72E-04
ταραχή	34	2.72E-04
πλήν	34	2.72E-04
πέτρα	34	2.72E-04
νίκη	34	2.72E-04
μυρίος	34	2.72E-04
λείπω	34	2.72E-04
κινέω	34	2.72E-04
ἑπτά	34	2.72E-04
ἕπομαι	34	2.72E-04
διαφέρω	34	2.72E-04
γενναῖος	34	2.72E-04
ἀναβαίνω	34	2.72E-04
ἀθροίζω	34	2.72E-04
ἄλλως	34	2.72E-04
φρουρέω	33	2.64E-04
τίθημι	33	2.64E-04
τελευτάω	33	2.64E-04
τάξις	33	2.64E-04
συχνός	33	2.64E-04
πλείων	33	2.64E-04
παράταξις	33	2.64E-04
πάρθοι	33	2.64E-04
οἰκουμένη	33	2.64E-04
ληιστής	33	2.64E-04
κατηγορέω	33	2.64E-04
ἱερός	33	2.64E-04
ἔοικα	33	2.64E-04
δεσπότης	33	2.64E-04
γνώμη	33	2.64E-04
αἷμα	33	2.64E-04
συνεχής	32	2.56E-04
ῥίπτω	32	2.56E-04
πτολεμαῖος	32	2.56E-04
κρίνω	32	2.56E-04
κοινός	32	2.56E-04
θόρυβος	32	2.56E-04
ἡσσάομαι	32	2.56E-04
ἡγέομαι	32	2.56E-04
ἐσθής	32	2.56E-04
ἐνδίδωμι	32	2.56E-04
ἐκεῖ	32	2.56E-04
ἔφοδος	32	2.56E-04
γράφω	32	2.56E-04
βασίλειος	32	2.56E-04
ἀποθνήσκω	32	2.56E-04
ἀνάνω	32	2.56E-04
φείδομαι	31	2.48E-04
φαίνω	31	2.48E-04
τρέω	31	2.48E-04
τιμωρία	31	2.48E-04
προαιρέω	31	2.48E-04
παραχρῆμα	31	2.48E-04
ἔτος	31	2.48E-04
αἰχμάλωτος	31	2.48E-04
ἀφίημι	31	2.48E-04
ἀπολείπω	31	2.48E-04
ἀνάγω	31	2.48E-04
ἀλεξανδρεία	31	2.48E-04
χαρίζομαι	30	2.40E-04
ὑψηλός	30	2.40E-04
τηρέω	30	2.40E-04
προάγω	30	2.40E-04
πρόειμι	30	2.40E-04
πέμπτος	30	2.40E-04
παραγίγνομαι	30	2.40E-04
πάντοθεν	30	2.40E-04
ὅμως	30	2.40E-04
ὅδε	30	2.40E-04
νεωτερίζω	30	2.40E-04
λανθάνω	30	2.40E-04
εἶμι	30	2.40E-04
δόξα	30	2.40E-04
βασίλειον	30	2.40E-04
ἄστυ	30	2.40E-04
συμβάλλω	29	2.32E-04
στῖφος	29	2.32E-04
σίδηρον	29	2.32E-04
πρόσω	29	2.32E-04
μυριάς	29	2.32E-04
μέτριος	29	2.32E-04
κακόω	29	2.32E-04
ἡλικία	29	2.32E-04
ἐπιχειρέω	29	2.32E-04
ἐπίνοια	29	2.32E-04
δέκα	29	2.32E-04
ἀπέχω	29	2.32E-04
χρύσεος	28	2.24E-04
τριάκοντα	28	2.24E-04
στρατοπεδεύω	28	2.24E-04
σπεύδω	28	2.24E-04
μνήμη	28	2.24E-04
μάχιμος	28	2.24E-04
καίπερ	28	2.24E-04
ἱερά	28	2.24E-04
ἵππος	28	2.24E-04
ἴσος	28	2.24E-04
