οἷος	14	6.84E-04
ὁράω	14	6.84E-04
καταλιμπάνω	14	6.84E-04
καλός	14	6.84E-04
ζώιον	14	6.84E-04
εὐσέβεια	14	6.84E-04
ἔτι	14	6.84E-04
ψεύδω	13	6.35E-04
ὑπομένω	13	6.35E-04
ὕστερος	13	6.35E-04
τότε	13	6.35E-04
πτολεμαῖος	13	6.35E-04
πρᾶξις	13	6.35E-04
πρᾶγμα	13	6.35E-04
ὀλίγος	13	6.35E-04
κοινός	13	6.35E-04
κατηγορέω	13	6.35E-04
κακός	13	6.35E-04
εἴκοσι	13	6.35E-04
ἐπιχειρέω	13	6.35E-04
ἔρχομαι	13	6.35E-04
ἔθος	13	6.35E-04
ἀρχαιότης	13	6.35E-04
ἀρετή	13	6.35E-04
ἀναιρέω	13	6.35E-04
φεύγω	12	5.87E-04
τολμάω	12	5.87E-04
τεκμήριον	12	5.87E-04
σῶμα	12	5.87E-04
συγγραφεύς	12	5.87E-04
ῥᾴδιος	12	5.87E-04
πρό	12	5.87E-04
πέρσης	12	5.87E-04
οἶδα	12	5.87E-04
μέλλω	12	5.87E-04
λοιπός	12	5.87E-04
λέπρα	12	5.87E-04
καίτοι	12	5.87E-04
κἀν	12	5.87E-04
ἤδη	12	5.87E-04
εὐθύς	12	5.87E-04
εἶδον	12	5.87E-04
ἐντυγχάνω	12	5.87E-04
δύο	12	5.87E-04
γῆ	12	5.87E-04
αἰχμάλωτος	12	5.87E-04
αἰτία	12	5.87E-04
ἀπέχω	12	5.87E-04
ἀδελφός	12	5.87E-04
χάρις	11	5.38E-04
τιμή	11	5.38E-04
σχεδόν	11	5.38E-04
συμφορά	11	5.38E-04
σοφία	11	5.38E-04
οἰκεῖος	11	5.38E-04
μᾶλλον	11	5.38E-04
καθίστημι	11	5.38E-04
ἱστορέω	11	5.38E-04
ἱκανός	11	5.38E-04
ἐθέλω	11	5.38E-04
ἔται	11	5.38E-04
βαβυλών	11	5.38E-04
ἀλέξανδρος	11	5.38E-04
ἀγνοέω	11	5.38E-04
ὥστε	10	4.89E-04
φρονέω	10	4.89E-04
φίλος	10	4.89E-04
φαῦλος	10	4.89E-04
τυγχάνω	10	4.89E-04
τίθημι	10	4.89E-04
τελευτάω	10	4.89E-04
τέσσαρες	10	4.89E-04
πολλάκις	10	4.89E-04
πολέμιος	10	4.89E-04
πειράω	10	4.89E-04
πέμπω	10	4.89E-04
παραλείπω	10	4.89E-04
παλαιός	10	4.89E-04
ὀνομάζω	10	4.89E-04
μνημονεύω	10	4.89E-04
μνήμη	10	4.89E-04
μικρός	10	4.89E-04
μέρος	10	4.89E-04
μανθάνω	10	4.89E-04
μάχη	10	4.89E-04
λίαν	10	4.89E-04
ἱερόν	10	4.89E-04
ἴδιος	10	4.89E-04
θύω	10	4.89E-04
ἑλληνικός	10	4.89E-04
ἐρῆμος	10	4.89E-04
ἐπιδείκνυμι	10	4.89E-04
ἐναντίον	10	4.89E-04
ἐμμένω	10	4.89E-04
διδάσκω	10	4.89E-04
δηλόω	10	4.89E-04
γοῦν	10	4.89E-04
αἰθιόπιος	10	4.89E-04
ἀλεξανδρεία	10	4.89E-04
ἀκριβής	10	4.89E-04
ἄξιος	10	4.89E-04
φανερός	9	4.40E-04
τύριος	9	4.40E-04
σώζω	9	4.40E-04
πίστις	9	4.40E-04
πατρίς	9	4.40E-04
πάσχω	9	4.40E-04
οἰκοδομέω	9	4.40E-04
οἰκέω	9	4.40E-04
νόμιμος	9	4.40E-04
μετέχω	9	4.40E-04
λακεδαιμόνιος	9	4.40E-04
κῦρος	9	4.40E-04
κελεύω	9	4.40E-04
κατασκευάζω	9	4.40E-04
θαυμαστός	9	4.40E-04
ἕνος	9	4.40E-04
ἐπιμελής	9	4.40E-04
ἐπιμέλεια	9	4.40E-04
ἐοικότως	9	4.40E-04
ἐκβάλλω	9	4.40E-04
δόξα	9	4.40E-04
δεύτερος	9	4.40E-04
βασίλη	9	4.40E-04
ψευδής	8	3.91E-04
χρή	8	3.91E-04
φιλοσοφέω	8	3.91E-04
τεῖχος	8	3.91E-04
τέχνη	8	3.91E-04
προαιρέω	8	3.91E-04
παρατίθημι	8	3.91E-04
παραδίδωμι	8	3.91E-04
πάλαι	8	3.91E-04
ὅπως	8	3.91E-04
ὀκτώ	8	3.91E-04
νομοθετέω	8	3.91E-04
νικάω	8	3.91E-04
μιαρός	8	3.91E-04
μαρτυρέω	8	3.91E-04
μάντις	8	3.91E-04
κοινωνία	8	3.91E-04
κατασκευή	8	3.91E-04
καρχηδών	8	3.91E-04
καινός	8	3.91E-04
θάλασσα	8	3.91E-04
ζάω	8	3.91E-04
ἐφίστημι	8	3.91E-04
ἐπέρχομαι	8	3.91E-04
γενναῖος	8	3.91E-04
βίβλος	8	3.91E-04
βαβυλώνιοι	8	3.91E-04
ἀπέρχομαι	8	3.91E-04
ἀκριβῶς	8	3.91E-04
ἀθήναια	8	3.91E-04
