Label,verbs,articles,nouns,pronouns,adjectives,prepositions,particles,conjunctions,unknowns,adverbs,propers,interjections
B59,0.25,0.125,0.125,0.125,0.125,0,0.25,0,0,0,0,0
B60,0.2727272727,0.1818181818,0.0909090909,0.0454545455,0.1818181818,0.0454545455,0.0454545455,0.0909090909,0,0,0.0454545455,0
B61,0.125,0.125,0.125,0,0.25,0,0.125,0.125,0.125,0,0,0
B62,0.2258064516,0.1290322581,0.0967741936,0,0.1935483871,0.064516129,0.0967741936,0.0967741936,0.0322580645,0,0.064516129,0
B63,0.2580645161,0.0967741936,0.064516129,0.0322580645,0.1935483871,0.1290322581,0.0967741936,0.0322580645,0.0322580645,0,0.064516129,0
B64,0.1964285714,0.1964285714,0.125,0.0178571429,0.125,0.125,0.0535714286,0.0535714286,0.0178571429,0.0178571429,0.0714285714,0
B65,0.1290322581,0.1612903226,0.1290322581,0.0967741936,0.1290322581,0.1290322581,0.0967741936,0.0322580645,0.064516129,0,0.0322580645,0
B66,0.125,0,0.125,0.375,0,0.125,0.125,0,0,0.125,0,0
B67,0.2222222222,0.1111111111,0.0833333333,0.0555555556,0.0833333333,0.1111111111,0.0833333333,0.0555555556,0.0277777778,0.0277777778,0.1388888889,0
B68,0.2222222222,0.2222222222,0.0555555556,0.0555555556,0.0555555556,0.1111111111,0,0.0555555556,0.1111111111,0.0555555556,0.0555555556,0
B69,0.1666666667,0.1666666667,0.0833333333,0,0.125,0,0.1666666667,0.125,0.125,0,0.0416666667,0
B70,0.1176470588,0.0588235294,0,0.0588235294,0.1176470588,0.2352941176,0.0588235294,0.0588235294,0.0588235294,0.0588235294,0.1764705882,0
B71,0.2222222222,0.2222222222,0.2222222222,0,0,0,0,0,0.1111111111,0.2222222222,0,0
B72,0.1666666667,0.1111111111,0.0555555556,0.0555555556,0.1111111111,0.1111111111,0.0555555556,0.0555555556,0.0555555556,0.0555555556,0.1666666667,0
B73,0.2,0.2,0.1,0,0.2,0,0.3,0,0,0,0,0
B74,0.1578947368,0.1578947368,0.1052631579,0.1052631579,0.2105263158,0.1052631579,0.1578947368,0,0,0,0,0
B75,0.2222222222,0.1111111111,0.1481481481,0,0.1851851852,0.0740740741,0.037037037,0.1111111111,0,0.037037037,0.0740740741,0
B76,0.1875,0.15625,0.09375,0.125,0.09375,0.09375,0.0625,0.09375,0,0,0.09375,0
B77,0.1538461538,0.2307692308,0.2692307692,0,0.1153846154,0.0769230769,0.0769230769,0.0384615385,0,0,0.0384615385,0
B78,0.2105263158,0.1052631579,0.052631579,0,0.1578947368,0.1052631579,0.1052631579,0.052631579,0,0.1052631579,0.1052631579,0
B79,0.1428571429,0.1428571429,0.0714285714,0.1428571429,0,0.1428571429,0.0714285714,0.0714285714,0.1428571429,0.0714285714,0,0
B80,0.2352941176,0.1764705882,0.1176470588,0,0.1764705882,0.0588235294,0.0882352941,0.0882352941,0,0,0.0588235294,0
B81,0.2307692308,0.1538461538,0.0769230769,0.0384615385,0.1153846154,0.0769230769,0.0769230769,0.1538461538,0,0.0384615385,0.0384615385,0
B82,0.1833333333,0.15,0.1666666667,0.1166666667,0.0833333333,0.1166666667,0.05,0.05,0,0.05,0.0333333333,0
B83,0.3103448276,0.1724137931,0.1034482759,0,0.0689655172,0,0.1379310345,0.1379310345,0,0.0344827586,0.0344827586,0
B84,0.15,0.15,0.25,0.1,0.1,0.15,0.05,0,0,0,0.05,0
B85,0.2,0.2,0.15,0.05,0.05,0.15,0,0.05,0,0,0.15,0
B86,0.25,0,0.25,0,0,0,0.25,0,0.25,0,0,0
B87,0.2222222222,0.1666666667,0.0555555556,0.0555555556,0,0.1666666667,0.0555555556,0,0.0555555556,0,0.2222222222,0
B88,0.1944444444,0.1388888889,0.1666666667,0.0277777778,0.1388888889,0.0555555556,0.1111111111,0.0833333333,0.0277777778,0,0.0555555556,0
B89,0.1818181818,0,0.0909090909,0.0909090909,0,0.0909090909,0.1818181818,0,0.0909090909,0.0909090909,0.1818181818,0
B90,0.2666666667,0.1333333333,0,0,0.2666666667,0.1333333333,0.0666666667,0,0,0.0666666667,0.0666666667,0
B91,0.1071428571,0.1428571429,0.0714285714,0.1071428571,0.0357142857,0.0714285714,0.1071428571,0.0714285714,0.2142857143,0.0714285714,0,0
B92,0.0769230769,0.0769230769,0,0,0.1538461538,0,0.1538461538,0.2307692308,0.2307692308,0.0769230769,0,0
B93,0.1851851852,0.1111111111,0.1111111111,0.037037037,0.0740740741,0.0740740741,0.037037037,0.1111111111,0,0.1111111111,0.1481481481,0
B94,0.1764705882,0.1764705882,0.0588235294,0.1176470588,0.1764705882,0.1176470588,0.0588235294,0.1176470588,0,0,0,0
B95,0.2857142857,0.1428571429,0,0,0.1428571429,0,0.1428571429,0,0,0,0.2857142857,0
B96,0.25,0.125,0,0.125,0.125,0.25,0,0,0,0,0.125,0
B97,0.2285714286,0.2285714286,0.0857142857,0.0285714286,0.0285714286,0.1142857143,0.1142857143,0.0857142857,0.0285714286,0.0285714286,0.0285714286,0
B98,0.1785714286,0.2142857143,0.1071428571,0.0357142857,0.1071428571,0.0357142857,0.0714285714,0.0357142857,0.0714285714,0.1428571429,0,0
B99,0.1724137931,0.1034482759,0.1034482759,0.0689655172,0.1724137931,0.1379310345,0.0689655172,0.1034482759,0,0.0344827586,0.0344827586,0
B100,0.1428571429,0.1142857143,0.2,0.0571428571,0.0857142857,0.1714285714,0.0285714286,0.0857142857,0,0.0857142857,0.0285714286,0
B101,0.125,0.25,0.25,0,0.125,0,0.125,0.125,0,0,0,0
B102,0.2142857143,0.1428571429,0.1428571429,0.1428571429,0.0714285714,0.0357142857,0.1071428571,0.1428571429,0,0,0,0
B103,0.1818181818,0.1818181818,0.1818181818,0.0909090909,0.2727272727,0.0909090909,0,0,0,0,0,0
B104,0.119047619,0.1666666667,0.2380952381,0.0476190476,0.119047619,0.1666666667,0.0714285714,0.0238095238,0,0,0.0476190476,0
B105,0.2777777778,0.1666666667,0.0555555556,0.0555555556,0.1111111111,0.0555555556,0.2222222222,0,0,0,0.0555555556,0
B106,0.2222222222,0.1481481481,0.1851851852,0.037037037,0.0740740741,0.0740740741,0.0740740741,0.1481481481,0,0,0.037037037,0
B107,0.1764705882,0.1764705882,0.1176470588,0.1176470588,0.1176470588,0.0588235294,0.1176470588,0.0588235294,0,0,0.0588235294,0
B108,0.1428571429,0.2142857143,0.0714285714,0.1428571429,0.1428571429,0.1428571429,0.0714285714,0.0714285714,0,0,0,0
B109,0.2272727273,0.2727272727,0.0454545455,0,0.1363636364,0,0.1363636364,0.0909090909,0,0.0454545455,0.0454545455,0
B110,0.16,0.2,0.1,0.06,0.14,0.16,0.06,0.04,0,0.02,0.06,0
B111,0.1333333333,0.2,0.2,0.1,0.0333333333,0.1,0.0666666667,0.0666666667,0,0.0666666667,0.0333333333,0
B112,0.3636363636,0,0.1818181818,0.0909090909,0.0909090909,0.0909090909,0.0909090909,0,0,0.0909090909,0,0
B113,0.2542372881,0.1525423729,0.0508474576,0.0508474576,0.1525423729,0.1016949153,0.1016949153,0.0677966102,0.0169491525,0.0169491525,0.0338983051,0
B114,0.1,0.2,0.1,0.1,0.2,0.2,0,0,0,0.1,0,0
B115,0.2156862745,0.1568627451,0.0980392157,0.0588235294,0.0784313726,0.0980392157,0.137254902,0.0784313726,0.0196078431,0.0392156863,0.0196078431,0
B116,0.2,0.2,0.15,0.1,0.1,0.1,0.05,0.05,0,0,0.05,0
B117,0.1714285714,0.1142857143,0.1714285714,0.0857142857,0.2285714286,0.0857142857,0.0285714286,0.0571428571,0,0.0285714286,0.0285714286,0
B118,0.2580645161,0.1290322581,0.064516129,0.1290322581,0.0483870968,0.0806451613,0.0483870968,0.1129032258,0.0161290323,0.064516129,0.0322580645,0.0161290323
B119,0.4285714286,0,0,0.1428571429,0,0,0.1428571429,0,0,0.1428571429,0.1428571429,0
B120,0.125,0,0.375,0.125,0,0.125,0.125,0,0,0,0.125,0
