Label,verbs,articles,nouns,pronouns,adjectives,prepositions,particles,conjunctions,unknowns,adverbs,propers,interjections
B220,0.125,0.125,0.1875,0,0.1875,0.0625,0.125,0.125,0.0625,0,0,0
B221,0.2363636364,0.2181818182,0.0909090909,0.0181818182,0.0909090909,0.0363636364,0.0545454546,0.0909090909,0,0.0363636364,0.1272727273,0
B222,0.25,0.25,0.1666666667,0.0833333333,0,0.0833333333,0.0833333333,0,0,0,0.0833333333,0
B223,0.3,0.15,0.05,0,0.15,0.1,0.05,0.05,0,0.05,0.1,0
B224,0.2,0.2,0,0.2,0.2,0,0,0,0,0,0.2,0
B225,0.2857142857,0.1428571429,0.0476190476,0.0952380952,0.1428571429,0,0.0952380952,0.0476190476,0,0.0476190476,0.0952380952,0
B226,0.1739130435,0.0434782609,0.1304347826,0.0869565217,0.0869565217,0.1304347826,0.0869565217,0.0434782609,0.0434782609,0.1304347826,0.0434782609,0
B227,0.2222222222,0.1666666667,0.2777777778,0.0555555556,0,0.0555555556,0,0.1666666667,0.0555555556,0,0,0
B228,0.1944444444,0.0555555556,0.0277777778,0.0555555556,0.0555555556,0.2222222222,0.0555555556,0.0833333333,0.0277777778,0.0277777778,0.1944444444,0
B229,0.2666666667,0.1333333333,0.2,0.0666666667,0.0666666667,0.1333333333,0.0666666667,0,0,0.0666666667,0,0
B230,0.1,0.2,0.1,0,0.2,0.1,0.1,0,0,0.1,0.1,0
B231,0.15,0.1,0.15,0,0.05,0.05,0.1,0.2,0.1,0,0.1,0
B232,0.1428571429,0.0714285714,0.0714285714,0,0.0714285714,0.2142857143,0.0714285714,0.0714285714,0.0714285714,0.0714285714,0.1428571429,0
B233,0.2121212121,0.1818181818,0.0303030303,0.0606060606,0.1515151515,0.0909090909,0.0606060606,0.0909090909,0.0303030303,0.0303030303,0.0606060606,0
B234,0.1886792453,0.1509433962,0.1132075472,0.0377358491,0.0566037736,0.1132075472,0.0566037736,0.1320754717,0,0.0188679245,0.1320754717,0
B235,0.2105263158,0.052631579,0.1052631579,0.1052631579,0.1052631579,0,0.2105263158,0.1052631579,0,0.052631579,0.052631579,0
B236,0.2105263158,0.1578947368,0.2105263158,0,0.1052631579,0.1052631579,0.052631579,0.1052631579,0.052631579,0,0,0
B237,0.1666666667,0.125,0,0.0416666667,0.1666666667,0.1666666667,0.0416666667,0.0833333333,0.0416666667,0,0.1666666667,0
B238,0.2222222222,0,0,0,0,0.1111111111,0.1111111111,0.2222222222,0.2222222222,0,0.1111111111,0
B239,0.3225806452,0.1290322581,0.064516129,0.064516129,0.1290322581,0.0967741936,0.0322580645,0,0.0322580645,0.064516129,0.064516129,0
B240,0.3461538462,0.1538461538,0.1153846154,0,0.1153846154,0,0.1153846154,0.0769230769,0.0384615385,0.0384615385,0,0
B241,0.3125,0.125,0.0625,0.0625,0.125,0.1875,0,0.0625,0,0,0.0625,0
B242,0.3333333333,0.1333333333,0,0,0.1333333333,0.0666666667,0.0666666667,0.1333333333,0,0.0666666667,0.0666666667,0
B243,0.2692307692,0.0384615385,0.0769230769,0.0769230769,0.1153846154,0.0384615385,0.1153846154,0.1923076923,0,0.0384615385,0.0384615385,0
B244,0.3421052632,0.0789473684,0.1052631579,0.0789473684,0.0789473684,0.052631579,0.1052631579,0.0789473684,0.0263157895,0,0.052631579,0
B245,0.15625,0.1875,0.15625,0.03125,0.09375,0.03125,0.09375,0.0625,0.03125,0.09375,0.0625,0
B246,0.2727272727,0.1818181818,0.1818181818,0.0909090909,0.1818181818,0.0909090909,0,0,0,0,0,0
