start,end,label,color
1600 BC,1046 BC,Shang,blue
1046 BC,256 BC,Zhou,red
221 BC,207 BC,Qin,green
202 BC,220,Han,blue
226,420,Jin,green
581,618,Sui,blue
618,907,Tang,purple
907,960,Five Dynasties,blue
960,1234,Song,blue
1271,1368,Yuan,yellow
1368,1644,Ming,blue
476 BC,221 BC,Warring States,red
220,280,Three Kingdoms,blue
386,589,Northern and Southern Dynasties,blue
